Sample	Percent	Start	End	amp_del
TCGA-57-1583-01	0	0	0	amp
TCGA-25-1630-01	0	0	0	amp
TCGA-36-1571-01	0	0	0	amp
TCGA-25-1623-01	0	0	0	amp
TCGA-25-1627-01	0	0	0	amp
TCGA-36-1570-01	0	0	0	amp
TCGA-09-1668-01	0	0	0	amp
TCGA-04-1517-01	0	0	0	amp
TCGA-09-1661-01	0	0	0	amp
TCGA-36-1578-01	0	0	0	amp
TCGA-36-1568-01	0	0	0	amp
TCGA-25-1631-01	0	0	0	amp
TCGA-24-1556-01	0	0	0	amp
TCGA-25-1634-01	0	0	0	amp
TCGA-24-1548-01	0	0	0	amp
TCGA-61-1730-01	0	0	0	amp
TCGA-61-1740-01	0	0	0	amp
TCGA-61-1738-01	0	0	0	amp
TCGA-29-1775-01	0	0	0	amp
TCGA-61-1907-01	0	0	0	amp
TCGA-04-1638-01	0	0	0	amp
TCGA-24-1846-01	0	0	0	amp
TCGA-23-1029-01	0	0	0	amp
TCGA-04-1651-01	0	0	0	amp
TCGA-29-1778-01	0	0	0	amp
TCGA-24-1842-01	0	0	0	amp
TCGA-29-1774-01	0	0	0	amp
TCGA-24-1843-01	0	0	0	amp
TCGA-61-1722-01	0	0	0	amp
TCGA-04-1649-01	0	0	0	amp
TCGA-61-1906-01	0	0	0	amp
TCGA-61-1895-01	0	0	0	amp
TCGA-61-1915-01	0	0	0	amp
TCGA-24-1844-01	0	0	0	amp
TCGA-61-1727-01	0	0	0	amp
TCGA-04-1646-01	0	0	0	amp
TCGA-30-1856-01	0	0	0	amp
TCGA-61-1725-01	0	0	0	amp
TCGA-61-1903-01	0	0	0	amp
TCGA-29-1776-01	0	0	0	amp
TCGA-61-1913-01	0	0	0	amp
TCGA-29-1777-01	0	0	0	amp
TCGA-29-1769-01	0	0	0	amp
TCGA-61-1914-01	0	0	0	amp
TCGA-61-1741-01	0	0	0	amp
TCGA-04-1652-01	0	0	0	amp
TCGA-61-1911-01	0	0	0	amp
TCGA-24-1850-01	0	0	0	amp
TCGA-61-1910-01	0	0	0	amp
TCGA-13-1494-01	0	0	0	amp
TCGA-24-1418-01	0	0	0	amp
TCGA-13-1511-01	0	0	0	amp
TCGA-24-1426-01	0	0	0	amp
TCGA-13-1507-01	0	0	0	amp
TCGA-13-1492-01	0	0	0	amp
TCGA-24-1435-01	0	0	0	amp
TCGA-24-1422-01	0	0	0	amp
TCGA-13-1512-01	0	0	0	amp
TCGA-13-1504-01	0	0	0	amp
TCGA-24-1430-01	0	0	0	amp
TCGA-24-1436-01	0	0	0	amp
TCGA-13-1489-02	0	0	0	amp
TCGA-13-1501-01	0	0	0	amp
TCGA-13-1510-01	0	0	0	amp
TCGA-24-1417-01	0	0	0	amp
TCGA-13-1477-01	0	0	0	amp
TCGA-13-1487-01	0	0	0	amp
TCGA-13-1484-01	0	0	0	amp
TCGA-13-1509-01	0	0	0	amp
TCGA-24-1434-01	0	0	0	amp
TCGA-24-1427-01	0	0	0	amp
TCGA-13-1491-01	0	0	0	amp
TCGA-24-1428-01	0	0	0	amp
TCGA-13-1505-01	0	0	0	amp
TCGA-13-1495-01	0	0	0	amp
TCGA-13-1499-01	0	0	0	amp
TCGA-13-1497-01	0	0	0	amp
TCGA-13-1496-01	0	0	0	amp
TCGA-13-1488-01	0	0	0	amp
TCGA-13-1498-01	0	0	0	amp
TCGA-24-1423-01	0	0	0	amp
TCGA-24-1431-01	0	0	0	amp
TCGA-24-1466-01	0	0	0	amp
TCGA-13-1506-01	0	0	0	amp
TCGA-24-1424-01	0	0	0	amp
TCGA-13-1500-01	0	0	0	amp
TCGA-13-1489-01	0	0	0	amp
TCGA-13-0723-01	0	0	0	amp
TCGA-13-0800-01	0	0	0	amp
TCGA-13-0802-01	0	0	0	amp
TCGA-13-0727-01	0	0	0	amp
TCGA-13-0755-01	0	0	0	amp
TCGA-13-0791-01	0	0	0	amp
TCGA-13-0792-01	0	0	0	amp
TCGA-09-0365-01	0	0	0	amp
TCGA-13-0804-01	0	0	0	amp
TCGA-09-0367-01	0	0	0	amp
TCGA-13-0751-01	0	0	0	amp
